ai_segment,performance_score,talent_progression_proxy,learning_intensity_score,absenteeism_risk_score,kpi_reliability_score,sustainable_value_potential
0,0.5938675958188153,0.23955347020743972,0.0005212442477826413,0.00014088105292966096,0.05389082462253194,0.39221318256164095
1,0.8085763293310464,0.7344684156455936,0.605109273907641,0.5325937638266793,0.48913664951400804,0.5085122757271076
2,0.8040345821325648,0.24004309371543606,0.0,0.0009168694819808351,0.16762728146013448,0.4288712135662062
3,0.5872857142857142,0.7341076645797762,0.5069375215839761,0.5303261610297829,0.5257142857142857,0.4521832585385914
