employee_id,bu,libelle_emploi,type_contrat,country,libelle_organisation_niveau_07,avg_performance,performance_std,performance_reviews,low_data_flag,performance_consistency_score,talent_progression_proxy,absence_events,absence_days,absence_events_score,absence_days_score,absenteeism_risk_score,absence_merge_status,training_count,training_hours,training_count_score,training_hours_score,learning_intensity_score,training_merge_status,has_absence_record,has_training_record,has_performance_record,performance_score,data_coverage_score,kpi_reliability_score,human_capital_value_proxy,reliability_adjusted_value_proxy,contribution_signal,learning_future_value_signal,progression_signal,sustainability_signal,interpretation_confidence,sustainable_value_potential,reliability_adjusted_value_potential,interpretation_risk,sustainability_balance,valuation_archetype,blue_line_question,risk_flag,opportunity_flag,ai_segment,ai_segment_label,segment_name
ANON_65X48X48X48X50X53X48X53X50X49X50X,CACEIS,IT SUPPORT OFFICER,CDI,France,IT Operations,4.0,0.0,1.0,True,0.4998034591194968,0.7353253652058432,44.0,36.0,0.4549469964664311,0.4447879858657244,0.448851590106007,both,12.0,139.0,0.886583400483481,0.9216357775987108,0.904109589041096,both,True,True,True,0.8,1.0,0.5,0.5732090712468656,0.4299068034351492,0.65,0.4587532949599619,0.6539196940726577,0.549975643239892,0.75,0.5732090712468656,0.4299068034351492,0.1433022678117164,0.00872893819985393,Stable / Monitor,What should be monitored to sustain contribution and development over time?,Low KPI reliability,High value proxy,1,Operational continuity risk,Operational continuity risk
ANON_65X48X48X48X50X53X48X53X50X56X53X,CACEIS,GROUP HEAD,CDI,France,General Inspection,4.0,0.0,1.0,True,0.4998034591194968,0.7353253652058432,60.0,50.0,0.7725265017667845,0.7926236749116607,0.7845848056537102,both,24.0,291.0,0.9923448831587428,0.9971796937953264,0.9947622884770346,both,True,True,True,0.8,1.0,0.5,0.5633739452888464,0.4225304589666348,0.65,0.6503764915621155,0.6539196940726577,0.21336521854656576,0.75,0.5633739452888464,0.4225304589666348,0.1408434863222116,-0.13625828989131872,Value Under Pressure,Is current contribution being created in a sustainable way?,High absenteeism risk,High value proxy,1,Operational continuity risk,Operational continuity risk
ANON_65X48X48X48X50X53X48X55X50X50X54X,CACEIS,TEAM MANAGER,CDI,Luxembourg,Change Management,,,,False,,0.2357237715803453,0.0,0.0,0.0,0.0,0.0,left_only,0.0,0.0,0.0,0.0,0.0,left_only,False,False,False,0.6,0.0,0.0,0.3925009920536503,0.0,0.55,3.306845500871354e-06,0.0,1.0,0.0,0.3925009920536503,0.0,0.3925009920536503,3.306845500871354e-06,Under-Observed Profile,Do we have enough reliable data to interpret this profile safely?,Low value proxy,Standard monitoring,0,Stable baseline profile,Stable baseline profile
ANON_65X48X48X48X50X53X48X56X53X52X57X,CACEIS,DATA OFFICER,CDD,France,MASTER DATA SERVICES,,,,False,,0.7353253652058432,23.0,18.0,0.1420053003533569,0.1373674911660777,0.1392226148409894,both,1.0,7.0,0.1547139403706688,0.2181708299758259,0.1864423851732474,both,True,True,False,0.6,0.6666666666666666,0.6666666666666666,0.48480692281444165,0.48480692281444165,0.55,0.07378748096404118,0.6539196940726577,0.8604136220716532,1.0,0.48480692281444165,0.48480692281444165,0.0,-0.06579889696430564,Stable / Monitor,What should be monitored to sustain contribution and development over time?,No major risk flag,High value proxy,3,Stable baseline profile,Stable baseline profile
ANON_65X48X48X48X50X53X49X48X56X50X56X,CACEIS,DEPUTY GLOBAL HEAD,CDI,France,Market Solutions,,,,False,,0.7353253652058432,48.0,36.0,0.558303886925795,0.4447879858657244,0.4901943462897526,both,7.0,108.0,0.7373086220789685,0.8551571313456889,0.7962328767123288,both,True,True,False,0.6,0.6666666666666666,0.6666666666666666,0.502156112507378,0.502156112507378,0.55,0.3662106172963849,0.6539196940726577,0.5085248660378194,1.0,0.502156112507378,0.502156112507378,0.0,-0.1252645166657957,Stable / Monitor,What should be monitored to sustain contribution and development over time?,No major risk flag,Learning investment to monitor for future impact,3,Stable baseline profile,Stable baseline profile
ANON_65X48X48X48X50X53X49X49X56X53X56X,CACEIS,GROUP MANAGER,CDI,France,Group Financial Steering Act,4.0,0.0,1.0,True,0.4998034591194968,0.7353253652058432,39.0,34.5,0.3242049469964664,0.3895759717314487,0.3634275618374558,both,5.0,41.0,0.621676067687349,0.6005237711522965,0.6110999194198228,both,True,True,True,0.8,1.0,0.5,0.5318414359550744,0.3988810769663058,0.65,0.2637630269582587,0.6539196940726577,0.6356228687834906,0.75,0.5318414359550744,0.3988810769663058,0.1329603589887686,-0.10061410425825068,Strong Contributor / Low Development,Are strong contributors receiving enough future-oriented development?,Low KPI reliability,High value proxy,1,Operational continuity risk,Operational continuity risk
ANON_65X48X48X48X50X53X49X50X48X57X57X,CACEIS,GENERAL SECRETARY,CDI,France,"PERES SECGEN, Contrl & Oversight",4.0,0.0,1.0,True,0.4998034591194968,0.7353253652058432,45.0,40.5,0.4818904593639576,0.5965106007067138,0.5506625441696114,both,17.0,151.0,0.9534649476228848,0.9375503626107976,0.9455076551168412,both,True,True,True,0.8,1.0,0.5,0.5720170116849381,0.4290127587637036,0.65,0.5228310746614983,0.6539196940726577,0.4478986758779505,0.75,0.5720170116849381,0.4290127587637036,0.14300425292123453,-0.029270249460551234,Value Under Pressure,Is current contribution being created in a sustainable way?,Low KPI reliability,High value proxy,1,Operational continuity risk,Operational continuity risk
ANON_65X48X48X48X50X53X49X50X53X48X51X,CACEIS,GROUP MANAGER,CDI,France,Group Financial Steering Act,4.0,0.0,1.0,True,0.4998034591194968,0.7353253652058432,35.0,29.0,0.2564045936395759,0.2559628975265017,0.2561395759717314,both,18.0,135.01,0.9627316680096696,0.911563255439162,0.9371474617244158,both,True,True,True,0.8,1.0,0.5,0.6314301339146066,0.47357260043595495,0.65,0.5240131470628006,0.6539196940726577,0.743191178424339,0.75,0.6314301339146066,0.47357260043595495,0.15785753347865164,0.26720432548713957,Stable / Monitor,What should be monitored to sustain contribution and development over time?,Low KPI reliability,High value proxy,1,Operational continuity risk,Operational continuity risk
ANON_65X48X48X48X50X53X49X51X48X51X52X,CACEIS,TEAM MANAGER,CDI,France,Reporting & Performance Analysis,4.0,0.0,1.0,True,0.4998034591194968,0.7353253652058432,53.0,42.0,0.6662985865724381,0.6373674911660777,0.6489399293286219,both,11.0,157.5,0.8674456083803385,0.9482272360999194,0.907836422240129,both,True,True,True,0.8,1.0,0.5,0.5325174251558402,0.39938806886688016,0.65,0.45685523015895746,0.6539196940726577,0.34936450998627167,0.75,0.5325174251558402,0.39938806886688016,0.13312935628896005,-0.19378025985477088,Value Under Pressure,Is current contribution being created in a sustainable way?,High absenteeism risk,High value proxy,1,Operational continuity risk,Operational continuity risk
ANON_65X48X48X48X50X53X49X52X50X48X57X,CACEIS,BUSINESS COORDINATOR,CDI,France,Funds NAV Calculation,4.0,0.0,1.0,True,0.4998034591194968,0.7353253652058432,38.0,32.0,0.3034452296819788,0.3173586572438162,0.3117932862190812,both,11.0,93.5,0.8674456083803385,0.8164786462530218,0.8419621273166802,both,True,True,True,0.8,1.0,0.5,0.5871797194650935,0.4403847895988201,0.65,0.41371118100218096,0.6539196940726577,0.6873920552677031,0.75,0.5871797194650935,0.4403847895988201,0.14679492986627338,0.10110323626988404,Stable / Monitor,What should be monitored to sustain contribution and development over time?,Low KPI reliability,High value proxy,1,Operational continuity risk,Operational continuity risk
